rank	word	occurrences (ppm)	lemma forms
1001.	vuelo	88	vuelo volar
1002.	ante	87	ante
1003.	bienvenido	87	bienvenido
1004.	harás	87	hacer
1005.	encontramos	87	encontrar
1006.	encontrado	87	encontrar
1007.	contacto	87	contacto contactar
1008.	posición	87	posición
1009.	saberlo	87	saber
1010.	planeta	87	planeta
1011.	humanos	87	humano
1012.	coronel	87	coronel
1013.	junto	87	junto juntar
1014.	diría	87	decir
1015.	ésa	87	ese
1016.	base	87	base basar
1017.	oír	86	oír
1018.	suelo	86	suelo soler
1019.	pelear	86	pelear
1020.	ayudarte	86	ayudar
1021.	pistola	86	pistola
1022.	frío	86	frío freír
1023.	comandante	85	comandante
1024.	partes	85	parte partir
1025.	llega	85	llegar
1026.	verás	85	ver
1027.	sur	85	sur
1028.	iremos	85	ir
1029.	rato	85	rato
1030.	mar	84	mar
1031.	espacio	84	espacio
1032.	asesinato	84	asesinato
1033.	ventana	84	ventana
1034.	prisa	84	prisa
1035.	tienda	84	tienda tender
1036.	cámara	84	cámara
1037.	puedas	84	poder
1038.	según	84	según
1039.	broma	84	broma
1040.	reunión	83	reunión
1041.	despierta	83	despertar
1042.	sacar	83	sacar
1043.	tí	83	ti
1044.	segunda	83	segundo
1045.	papel	83	papel
1046.	locura	83	locura
1047.	departamento	82	departamento
1048.	horrible	82	horrible
1049.	enfermo	82	enfermo
1050.	pregunto	82	preguntar
1051.	cárcel	82	cárcel
1052.	órdenes	82	orden
1053.	intento	82	intento intentar
1054.	isla	82	isla
1055.	salida	82	salida salir
1056.	llamó	82	llamar
1057.	volveré	82	volver
1058.	usa	82	usar
1059.	gato	82	gato
1060.	hagan	82	hacer
1061.	dejes	82	dejar
1062.	duele	81	doler
1063.	vengan	81	venir
1064.	crimen	81	crimen
1065.	esperaba	81	esperar
1066.	causa	81	causa causar
1067.	bar	81	bar
1068.	seré	81	ser
1069.	ocho	81	ocho
1070.	temprano	81	temprano
1071.	río	81	río reír
1072.	relación	80	relación
1073.	drogas	80	droga
1074.	luces	80	luz
1075.	bromeando	80	bromear
1076.	ojalá	80	ojalá
1077.	hablamos	80	hablar
1078.	trabaja	80	trabajar
1079.	irse	80	ir
1080.	libros	80	libro
1081.	radio	80	radio
1082.	vienes	79	venir
1083.	quedan	79	quedar
1084.	excepto	79	excepto
1085.	brazo	79	brazo
