rank	word	occurrences (ppm)	lemma forms
707.	siendo	133	ser
708.	diez	133	diez
709.	ése	132	ese
710.	tranquilo	131	tranquilo
711.	asunto	131	asunto
712.	acabó	131	acabar
713.	quédate	131	quedar
714.	derecho	131	derecho
715.	placer	131	placer
716.	recuerda	131	recordar
717.	estuve	131	estar
718.	tratando	131	tratar
719.	ejército	131	ejército
720.	futuro	131	futuro
721.	llevar	130	llevar
722.	compañía	130	compañía
723.	venido	130	venir
724.	listos	130	listo
725.	haremos	129	hacer
726.	sitio	129	sitio
727.	verlo	129	ver
728.	puesto	129	puesto poner
729.	atención	129	atención
730.	sino	128	sino
731.	cambiar	128	cambiar
732.	error	128	error
733.	blanco	127	blanco
734.	raro	127	raro
735.	palabras	127	palabra
736.	llegó	127	llegar
737.	sal	127	sal salir
738.	pase	127	pasar
739.	mente	127	mente
740.	sistema	126	sistema
741.	película	126	película
742.	anda	126	andar
743.	ello	126	ello
744.	negocio	126	negocio negociar
745.	novia	126	novia
746.	permiso	125	permiso
747.	creí	125	creer
748.	suena	125	sonar
749.	ocurre	125	ocurrir
750.	oficial	125	oficial
751.	espere	125	esperar
752.	aire	125	aire
753.	mató	124	matar
754.	regresar	124	regresar
755.	vio	124	ver
756.	hazlo	123	hacer
757.	trasero	122	trasero
758.	grupo	122	grupo
759.	entendido	122	entender
760.	señorita	122	señorita
761.	música	122	música
762.	perra	122	perra
763.	conoce	121	conocer
764.	empezar	121	empezar
765.	siente	121	sentir sentar
766.	acabo	120	acabar
767.	estúpido	120	estúpido
768.	diferente	120	diferente
769.	traje	120	traer traje
770.	modo	120	modo
771.	encontré	119	encontrar
772.	mensaje	119	mensaje
773.	llamada	119	llamada llamar
774.	navidad	118	navidad
775.	eras	118	ser
776.	pena	118	pena penar
777.	largo	118	largo largar
778.	entra	118	entrar
779.	piso	118	piso pisar
780.	foto	118	foto
781.	dijeron	118	decir
782.	médico	117	médico
783.	accidente	117	accidente
784.	fuiste	117	ir ser
785.	imposible	117	imposible
786.	podríamos	116	poder
787.	línea	116	línea
788.	propia	116	propio
789.	barco	116	barco
790.	ganar	116	ganar
791.	normal	115	normal
792.	segundos	115	segundo
793.	vive	115	vivir
794.	mitad	114	mitad
795.	quiera	114	querer
796.	tras	114	tras
797.	decirle	114	decir
798.	lindo	114	lindo
799.	funciona	114	funcionar
800.	programa	113	programa
801.	vine	113	venir
802.	abre	113	abrir
803.	sean	113	ser
804.	pagar	113	pagar
805.	fotos	113	foto
806.	centro	113	centro centrar
807.	supone	113	suponer
808.	basura	112	basura
809.	situación	112	situación
810.	mejores	112	mejor
811.	vienen	112	venir
812.	encanta	112	encantar
813.	marido	112	marido
814.	personal	111	personal
815.	maestro	111	maestro
816.	hambre	111	hambre
817.	ataque	111	ataque atacar
818.	culo	111	culo
819.	dale	111	dar
820.	pie	111	pie
821.	conseguir	111	conseguir
822.	trabajando	111	trabajar
823.	gracioso	111	gracioso
824.	dejó	111	dejar
825.	pudo	110	poder
826.	derecha	110	derecha
827.	izquierda	110	izquierda
828.	próxima	110	próximo
829.	pobre	110	pobre
830.	respuesta	109	respuesta
831.	tipos	109	tipo
832.	sentir	109	sentir
833.	tenías	109	tener
834.	pude	109	poder
835.	darle	109	dar
836.	voz	109	voz
837.	amiga	109	amiga
838.	gustan	109	gustar
839.	vista	109	vista ver
840.	salvo	109	salvo salvar
841.	loca	108	loco
842.	hotel	108	hotel
843.	hicieron	108	hacer
844.	ten	108	tener
845.	temo	108	temer
846.	señal	108	señal
847.	pelo	108	pelo pelar
848.	llevo	108	llevar
849.	ayer	108	ayer
850.	das	108	dar
851.	nena	108	nena
852.	servicio	108	servicio
853.	tren	107	tren
854.	bonito	107	bonito
855.	mes	107	mes
856.	tendrá	107	tener
857.	tendrás	107	tener
858.	edad	107	edad
859.	ellas	107	ellas
860.	hermosa	107	hermoso
861.	honor	106	honor
862.	simplemente	106	simplemente
863.	llamas	105	llamar llama
864.	tengas	105	tener
865.	corre	105	correr
866.	baja	105	bajo baja
867.	sol	105	sol
868.	siéntate	105	sentar
869.	dan	105	dar
870.	humano	105	humano
871.	divertido	105	divertido divertir
872.	sexo	104	sexo
873.	vuelto	104	vuelto volver
874.	peligro	104	peligro peligrar
875.	mesa	104	mesa
876.	siguiente	104	siguiente
877.	hablo	104	hablar
878.	disculpa	104	disculpa disculpar
879.	decirme	104	decir
880.	caja	103	caja
881.	negocios	103	negocio negociar
882.	misión	103	misión
883.	silencio	103	silencio
884.	sale	103	salir
885.	llegado	103	llegar
886.	estaría	102	estar
887.	regreso	102	regreso regresar
888.	media	102	media medio
889.	estan	101	estar
890.	propio	101	propio
891.	oro	101	oro orar
892.	enseguida	101	enseguida
893.	linda	100	lindo
894.	prometo	100	prometer
895.	esposo	100	esposo esposar
896.	norte	99	norte
897.	hubo	99	haber
898.	juro	99	jurar
899.	muerta	99	muerto morir
900.	interesante	99	interesante
901.	pensaba	99	pensar
902.	busca	99	buscar busca
903.	terminar	99	terminar
904.	tendré	98	tener
905.	completamente	98	completamente
906.	cita	98	cita citar
907.	siete	98	siete
908.	cumpleaños	98	cumpleaños
909.	abogado	98	abogado
910.	alrededor	98	alrededor
911.	cerebro	98	cerebro
912.	porqué	97	porqué
913.	llave	97	llave
914.	santo	97	santo
915.	hermoso	97	hermoso
916.	necesario	97	necesario
917.	edificio	97	edificio
918.	irnos	97	ir
919.	aun	97	aun
920.	tendremos	97	tener
921.	vayas	97	ir
922.	doy	96	dar
923.	trae	96	traer
924.	salió	96	salir
925.	ley	96	ley
926.	ahi	96	ahí
927.	verdadero	96	verdadero
928.	pelea	96	pelea pelear
929.	banco	96	banco
930.	terrible	95	terrible
931.	calma	95	calma calmar
932.	cena	95	cena cenar
933.	daré	95	dar
934.	gobierno	95	gobierno
935.	comprar	95	comprar
936.	creen	94	creer crear
937.	sargento	94	sargento
938.	destino	94	destino
939.	existe	94	existir
940.	hacía	94	hacer
941.	novio	93	novio
942.	sala	93	sala
943.	través	93	través
944.	regalo	93	regalo regalar
945.	iglesia	92	iglesia
946.	decía	92	decir
947.	cualquiera	92	cualquiera
948.	excelente	92	excelente
949.	esperen	92	esperar
950.	deseo	92	deseo desear
951.	alma	92	alma
952.	diablo	92	diablo
953.	deje	92	dejar
954.	cuántos	92	cuántos
955.	espada	92	espada
956.	estábamos	92	estar
957.	carne	92	carne
958.	maravilloso	92	maravilloso
